208.84.168.205,2019-04-12,08:58:56,河北,音乐,民谣,等廖国钺
230.81.255.174,2019-12-21,03:39:10,贵州,游戏,飞行射击,Zombie Doctor Adventure Island
38.253.131.116,2018-02-08,16:31:50,香港,购物,母婴儿童,体温计
38.253.131.116,2019-01-18,08:35:31,香港,购物,书籍课程,摄影
58.208.153.84,2018-07-28,20:25:33,北京,电影电视,恐怖,"凌晨3点（鬼三惊）阿萍雅·萨库尔·加伦苏,"
131.154.148.39,2019-01-25,13:13:35,河南,购物,书籍课程,中医养生
230.81.255.174,2019-12-30,02:03:40,贵州,购物,美妆,烫发
208.61.53.109,2018-05-21,15:22:56,台湾,游戏,休闲益智,Golden Piano - Magic 2
230.247.113.250,2018-04-17,21:11:40,贵州,游戏,扑克棋牌,纪念达拉贡
145.232.199.186,2019-07-15,19:30:59,浙江,游戏,跑酷竞速,死亡管道
38.253.131.116,2019-11-05,12:29:31,香港,电影电视,动作,"暗杀全智贤,李政宰,"
230.81.255.174,2019-06-03,15:56:49,贵州,音乐,中国特色,大悲咒印良法师
58.208.153.84,2018-06-26,11:19:48,北京,电影电视,科幻,大战外星人
38.253.131.116,2018-05-02,22:34:31,香港,音乐,民谣,自渡陈粒
230.81.255.174,2018-02-10,21:15:29,贵州,电影电视,喜剧,"失恋33天白百何,文章,张嘉译,"
58.208.153.84,2018-11-23,06:34:47,北京,购物,女装,街头
145.232.199.186,2019-04-01,11:03:24,浙江,电影电视,家庭,"第一茶庄秦岚,黄少祺,寇世勋,"
131.154.148.39,2018-07-15,04:38:52,河南,购物,书籍课程,美术
208.84.168.205,2018-09-30,00:33:30,河北,购物,零食生鲜,饮料
6.235.212.117,2019-12-06,19:46:43,山西,购物,家电数码,LED电视
208.61.53.109,2018-03-08,10:17:55,台湾,购物,男装,休闲裤
145.232.199.186,2019-04-23,22:27:01,浙江,电影电视,动作,"狂蟒之灾3克里斯托·艾伦,"
38.253.131.116,2019-01-08,02:08:01,香港,电影电视,动作,"大武当之天地密码杨幂,赵文卓,樊少皇,"
145.232.199.186,2019-04-01,04:41:42,浙江,电影电视,动画,"旅行吧！井底之蛙王雪沁,吴凡,唐泽宗,"
230.247.113.250,2018-09-09,13:33:06,贵州,游戏,角色扮演,三國春秋傳
208.84.168.205,2018-05-20,23:46:04,河北,音乐,古典,垃圾 (麦花臣版)陈辉阳
230.81.255.174,2018-06-13,13:40:28,贵州,游戏,经营策略,王国纪元
131.154.148.39,2019-04-20,02:32:02,河南,购物,乐器,琵琶
208.61.53.109,2018-03-27,11:49:27,台湾,电影电视,爱情,"极品山炮之恋爱大师别鹿,"
38.253.131.116,2019-03-13,10:53:20,香港,音乐,动漫ACG,ふたたび久石譲
208.84.168.205,2019-10-27,08:24:56,河北,游戏,休闲益智,疯狂水果城
114.134.227.90,2019-01-11,19:57:34,西藏,电影电视,恐怖,"画皮之阴阳法王郑少秋,王祖贤,洪金宝,"
6.235.212.117,2018-09-17,21:41:15,山西,购物,乐器,萨克斯
38.253.131.116,2018-10-21,21:32:01,香港,购物,乐器,葫芦丝
208.61.53.109,2018-08-10,06:55:57,台湾,购物,乐器,二手钢琴
131.154.148.39,2018-05-30,09:02:49,河南,购物,母婴儿童,婴儿床
58.208.153.84,2019-09-06,11:43:39,北京,游戏,经营策略,古代战争 Esenthel RTS
208.84.168.205,2018-09-30,10:53:38,河北,电影电视,战争,"接触陈建斌,杨童舒,韩青,"
230.81.255.174,2018-08-07,13:54:45,贵州,购物,乐器,小号
58.208.153.84,2018-03-26,00:05:28,北京,电影电视,爱情,"魔发奇缘（普通话）曼迪·摩尔,扎卡里·列维,唐娜·墨菲,"
131.154.148.39,2019-11-05,19:43:37,河南,购物,美妆,防晒
